playlist,name,artists,duration,link
Daily Mix 3,Dancing Feet (feat. DNCE),Kygo;DNCE,03:35,https://open.spotify.com/track/4RAR8g8fZNB106ezUurnE0
Daily Mix 3,Unloving You,Anson Seabra,02:33,https://open.spotify.com/track/2w9nvs1ByWUGkED4M0ug34
Daily Mix 3,House On Fire,Mimi Webb,02:20,https://open.spotify.com/track/2iHsdUnmKGIuc9oRE3DfgJ
Daily Mix 3,Oh My God,Adele,03:45,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
Daily Mix 3,What Would You Do?,Joel Corry;David Guetta;Bryson Tiller,02:54,https://open.spotify.com/track/1D2ZNECRd7KIlA4pyOUGsv
Daily Mix 3,When You're Gone,Shawn Mendes,02:52,https://open.spotify.com/track/0U1W2LZVUX7qTm7dDpqxh6
Daily Mix 3,Fingers Crossed,Lauren Spencer-Smith,02:55,https://open.spotify.com/track/3yMC1KsTwh0ceXdIe4QQAQ
Daily Mix 3,Everything But You (feat. A7S),Clean Bandit;A7S,03:18,https://open.spotify.com/track/2wVQcA1YCuGL6EW0QbgVoV
Daily Mix 3,Birthday Cake,Dylan Conrique,03:25,https://open.spotify.com/track/7dDrR6vMK1JAwZZ5MIWgme
Daily Mix 3,Bam Bam (feat. Ed Sheeran),Camila Cabello;Ed Sheeran,03:26,https://open.spotify.com/track/2DB4DdfCFMw1iaR6JaR03a
Daily Mix 3,Easy On Me,Adele,03:44,https://open.spotify.com/track/0gplL1WMoJ6iYaPgMCL0gX
Daily Mix 3,Melody,Sigala,02:47,https://open.spotify.com/track/6Owc2SuzwO3LW1SAODYK3l
Daily Mix 3,Crazy What Love Can Do,David Guetta;Becky Hill;Ella Henderson,02:49,https://open.spotify.com/track/1WCEAGGRD066z2Q89ObXTq
Daily Mix 3,Flowers,Lauren Spencer-Smith,02:37,https://open.spotify.com/track/6Z165JvPnS8PYvGW8oLGLc
Daily Mix 3,I Wish (feat. Mabel),Joel Corry;Mabel,03:01,https://open.spotify.com/track/0YORgvqP1MotwCnDZzOwII
Daily Mix 3,Numb Little Bug,Em Beihold,02:49,https://open.spotify.com/track/3o9kpgkIcffx0iSwxhuNI2
Daily Mix 3,Shivers,Ed Sheeran,03:27,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
Daily Mix 3,Remind Me,Tom Grennan,03:31,https://open.spotify.com/track/6VIYEyjNW71NnIGEduf8D8
Daily Mix 3,Sigue,J Balvin;Ed Sheeran,02:39,https://open.spotify.com/track/0bBd6K5X4W7t9GyXcaVOA7
Daily Mix 3,Can I Get It,Adele,03:30,https://open.spotify.com/track/6w8ZPYdnGajyfPddTWdthN
Daily Mix 3,Where Are You Now,Lost Frequencies;Calum Scott,02:28,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
Daily Mix 3,Where Did You Go? (feat. MNEK),Jax Jones;MNEK,02:57,https://open.spotify.com/track/3sa06xVNmLLYIxdNNmVQN8
Daily Mix 3,Mr. Forgettable,David Kushner,03:07,https://open.spotify.com/track/39ZVkOVxjG8ypNdUSVNkxU
Daily Mix 3,Bad Habits,Ed Sheeran,03:50,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
Daily Mix 3,Don’t Wake Me Up,Jonas Blue;Why Don't We,03:08,https://open.spotify.com/track/3LEgGAl9zLcQWGTp7ptqtQ
